Year,Month,Category,Amount,Total_Monthly_Spend,Percent_Spend,Deviation,Label
2021,11,Beauty,1568.0,98669.89196902858,1.5891372420800645,-2.4108627579199355,Good
2021,11,Entertainment,2764.7381779843768,98669.89196902858,2.802007910226757,-2.197992089773243,Good
2021,11,Food,17350.0,98669.89196902858,17.583884662046636,-22.416115337953364,Bad
2021,11,Health & Fitness,3200.0,98669.89196902858,3.2431372287348257,-1.7568627712651743,Good
2021,11,Household,28107.78556051942,98669.89196902858,28.486689302692408,-1.5133106973075918,Good
2021,11,Investment,1986.4,98669.89196902858,2.0131774347371434,-1.9868225652628568,Good
2021,11,Salary,40541.63024625646,98669.89196902858,41.088146989136305,41.088146989136305,Bad
2021,11,Shopping,1422.5350118859485,98669.89196902858,1.4417113300706428,-5.558288669929357,Bad
2021,11,Transportation,1728.802972382368,98669.89196902858,1.7521079002752131,-3.247892099724787,Bad
2021,12,Beauty,5684.0,209958.5916895408,2.707200479037673,-1.292799520962327,Good
2021,12,Entertainment,5883.598656751768,209958.5916895408,2.802266203733954,-2.197733796266046,Good
2021,12,Food,45826.04872735885,209958.5916895408,21.826231714832797,-18.173768285167203,Bad
2021,12,Health & Fitness,10000.0,209958.5916895408,4.762843911044463,-0.2371560889555368,Good
2021,12,Household,33553.864064412555,209958.5916895408,15.981181715120096,-14.018818284879904,Bad
2021,12,Investment,5130.0,209958.5916895408,2.4433389263658096,-1.5566610736341904,Bad
2021,12,Salary,88107.62657574647,209958.5916895408,41.96428727528734,41.96428727528734,Bad
2021,12,Shopping,9404.50020908288,209958.5916895408,4.479216655724678,-2.520783344275322,Good
2021,12,Transportation,6368.953456188269,209958.5916895408,3.0334331188531887,-1.966566881146811,Good
2022,1,Beauty,3136.0,249530.06087744495,1.2567624072917716,-2.7432375927082284,Good
2022,1,Entertainment,8434.20529477053,249530.06087744495,3.3800357620691384,-1.6199642379308616,Good
2022,1,Food,40995.49701728982,249530.06087744495,16.42908147945529,-23.57091852054471,Bad
2022,1,Health & Fitness,11600.0,249530.06087744495,4.648738496359869,-0.3512615036401314,Good
2022,1,Household,56720.2872885786,249530.06087744495,22.730843365776437,-7.269156634223563,Bad
2022,1,Investment,8726.51,249530.06087744495,3.4971778427473588,-0.5028221572526412,Good
2022,1,Salary,96197.16453234972,249530.06087744495,38.551332931224,38.551332931224,Bad
2022,1,Shopping,9210.013581855826,249530.06087744495,3.6909435077560713,-3.3090564922439287,Good
2022,1,Transportation,14510.383162600465,249530.06087744495,5.815084207320073,0.8150842073200728,Good
2022,2,Beauty,5880.0,225778.79770749225,2.604318943897396,-1.395681056102604,Good
2022,2,Entertainment,11201.218911897124,225778.79770749225,4.961147382142085,-0.0388526178579153,Good
2022,2,Food,53646.26478011128,225778.79770749225,23.7605414347244,-16.239458565275598,Bad
2022,2,Health & Fitness,6800.0,225778.79770749225,3.0117974181126344,-1.9882025818873656,Good
2022,2,Household,56795.45874627062,225778.79770749225,25.15535529596184,-4.84464470403816,Good
2022,2,Investment,4944.85,225778.79770749225,2.1901303621991564,-1.8098696378008436,Good
2022,2,Salary,73738.01130421906,225778.79770749225,32.65940471511871,32.65940471511871,Bad
2022,2,Shopping,3630.834580010487,225778.79770749225,1.608137972598479,-5.391862027401521,Bad
2022,2,Transportation,9142.159384983675,225778.79770749225,4.049166475245298,-0.9508335247547022,Good
2022,3,Beauty,196.0,9095.959402726476,2.154802933061133,-1.845197066938867,Good
2022,3,Food,5440.0,9095.959402726476,59.80677528496206,19.806775284962058,Bad
2022,3,Health & Fitness,800.0,9095.959402726476,8.79511401249442,3.795114012494419,Good
2022,3,Investment,195.0,9095.959402726476,2.143809040545515,-1.856190959454485,Bad
2022,3,Salary,1000.0,9095.959402726476,10.993892515618024,10.993892515618024,Bad
2022,3,Shopping,544.0587480651114,9095.959402726476,5.981323398409541,-1.0186766015904594,Good
2022,3,Transportation,920.9006546613648,9095.959402726476,10.12428281490932,5.12428281490932,Bad
